#OTU ID	magic.0018.S106.001.fa	magic.0532.S92.001.fa	magic.0322.S65.001.fa	magic.0417.S90.001.fa	magic.0531.S80.001.fa	magic.0124.S61.001.fa	magic.0551.S105.001.fa	magic.0078.S72.001.fa	magic.0231.S63.001.fa	magic.0268.S40.001.fa	magic.0331.S77.001.fa	magic.0011.S46.001.fa	magic.0020.S23.001.fa	magic.0300.S100.001.fa	magic.0021.S35.001.fa	magic.0542.S57.001.fa	magic.0004.S34.001.fa	magic.0075.S60.001.fa	magic.0526.S56.001.fa	magic.0337.S113.001.fa	magic.0471.S103.001.fa	magic.0317.S53.001.fa	magic.0465.S91.001.fa	magic.0040.S71.001.fa	magic.0134.S97.001.fa	magic.0132.S85.001.fa	magic.0148.S26.001.fa	magic.0539.S33.001.fa	magic.0246.S28.001.fa	magic.0307.S112.001.fa	magic.0156.S62.001.fa	magic.0013.S58.001.fa	magic.0131.S73.001.fa	magic.0339.S30.001.fa	magic.0435.S43.001.fa	magic.0242.S87.001.fa	magic.0315.S29.001.fa	magic.0334.S89.001.fa	magic.0290.S88.001.fa	magic.0456.S79.001.fa	magic.0272.S52.001.fa	magic.0402.S78.001.fa	magic.0050.S95.001.fa	magic.0552.S117.001.fa	magic.0367.S42.001.fa	magic.0473.S115.001.fa	magic.0059.S36.001.fa	magic.0015.S70.001.fa	magic.0173.S98.001.fa	magic.0232.S75.001.fa	magic.0543.S69.001.fa	magic.0374.S54.001.fa	magic.0549.S93.001.fa	magic.0547.S81.001.fa	magic.0030.S59.001.fa	magic.0179.S110.001.fa	magic.0100.S96.001.fa	magic.0016.S82.001.fa	magic.0440.S55.001.fa	magic.0244.S111.001.fa	magic.0541.S45.001.fa	magic.0514.S44.001.fa	magic.0001.S22.001.fa	magic.0537.S104.001.fa	magic.0527.S68.001.fa	magic.0287.S76.001.fa	magic.0538.S116.001.fa	magic.0112.S49.001.fa	magic.0109.S25.001.fa	magic.0017.S94.001.fa	magic.0243.S99.001.fa	magic.0316.S41.001.fa	magic.0150.S50.001.fa	magic.0433.S31.001.fa	magic.0053.S24.001.fa	magic.0189.S39.001.fa	magic.0110.S37.001.fa	magic.0079.S84.001.fa	magic.0146.S109.001.fa	magic.0028.S47.001.fa	magic.0428.S102.001.fa	magic.0063.S48.001.fa	magic.0217.S51.001.fa	magic.0335.S101.001.fa	magic.0278.S64.001.fa	magic.0396.S66.001.fa	magic.0048.S83.001.fa	magic.0149.S38.001.fa	magic.0170.S86.001.fa	magic.0164.S74.001.fa	magic.0429.S114.001.fa	magic.0185.S27.001.fa	magic.0484.S32.001.fa	Blank.S67.001.fa	magic.0101.S108.001.fa	Postive.Control.S107.001.fa
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia_dysenteriae	5913	1	0	5	338	392	3960	5186	4092	62	5	21	88	100	3623	5	14763	38	0	0	351	0	2	3	2936	12267	42	62	3	59	7	3	4519	27	124	1	0	762	5	6	1	391	7	114	2	0	12	970	4816	184	48	77	20	34	643	8	7046	13289	1	1128	40	79	15547	398	1182	12	17	868	2	175	434	172	4454	4	4	163	10	354	11	348	1900	1646	8	4	702	2	4574	26	53	15	335	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia_fergusonii	2011	2	0	1	36	286	2556	1776	1424	9	7	13	34	73	311	0	1510	5	11	1	56	13	46	2	1824	2938	26	73	7	29	48	0	3308	6	96	1	0	117	1	260	0	159	1	32	1	3	3	1211	2305	110	48	23	7	286	299	21	2729	1390	2	300	9	27	1544	101	387	56	16	228	3	68	172	82	2062	11	11	63	18	106	46	72	640	134	3	133	118	274	1564	48	57	23	138	0	0	0	0	0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium_accolens	10	0	0	0	0	0	0	1	3	0	29	0	0	0	4	0	4	0	0	0	0	0	1389	1	4	104	0	3	0	0	0	0	0	0	0	67	0	6	0	0	0	2	3	0	0	5	0	0	2	0	0	0	0	0	1	0	0	8	0	2	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;s__Chryseobacterium_mucoviscidosis	58	0	0	0	0	0	30	43	34	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	97	11	0	1	0	1	0	0	104	0	0	0	0	1	0	0	0	5	0	0	0	0	0	3	36	0	0	0	0	0	1	0	7	0	0	0	0	0	1	0	12	0	0	0	0	0	0	0	76	0	0	0	0	0	0	2	0	1	0	0	0	0	39	0	0	0	5	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_pseudopneumoniae_G	12	1	2	4	3	1	8	0	1	2	174	1	96	21	0	11	2	0	1	30	2	45	18	21	48	153	0	16	0	0	14	164	4	0	25	2	0	3	467	22	3	1	9	0	25	4	1	2	2	15	0	2	14	4	9	7	27	3	3	10	1	9	0	26	4	38	9	2	9	51	8	4	4	2	1	1	0	15	11	1	10	1	13	4	0	15	3	3	1	5	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_haemolyticus_A	54	0	0	0	0	0	0	1	0	0	5	0	1	1	0	5	24	0	0	37	0	3	0	42	68	280	0	0	0	0	2	374	1	0	0	0	0	0	44	4	0	0	0	0	6	0	12	8	13	9	0	0	0	20	33	3	0	7	0	0	0	212	1	0	0	0	0	1	10	35	0	1	0	1	11	22	0	3	9	8	1	0	0	0	0	0	1	3	15	5	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_A;s__Enterococcus_A_gilvus	67	0	0	0	5	0	0	48	22	0	2	0	321	0	0	3	2	0	0	0	1	9	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	14	0	0	0	5	0	0	0	1	5	0	1	0	0	0	0	0	0	3	4	0	188	0	0	5	0	0	0	6	0	0	0	0	0	0	3	1	1	1	0	38	0	2	32	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_hominis	2184	0	2	3	0	4	0	12	2	0	53	0	195	51	0	881	460	1	0	4	0	559	5	391	160	181	11	0	0	0	2	12890	3	0	3	256	0	1	84	2	0	0	6	0	1	0	1145	4	1	523	0	0	0	473	1620	3	0	312	2	0	0	9093	2	0	0	4	0	110	401	19	2	23	43	75	408	97	49	2	17	46	0	0	33	0	0	0	184	1	617	6	0	0	0	0	0	0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter_A;s__Arthrobacter_A_sp002929305	102	0	0	0	6	197	80	53	58	2	0	0	1	2	32	0	104	2	0	0	0	0	0	0	11	16	19	0	0	1	0	0	6	0	0	0	0	5	0	0	0	1	0	11	0	0	0	341	36	0	14	0	0	0	108	0	123	73	0	0	0	2	109	2	17	2	0	2	0	0	11	4	4	0	0	3	0	1	0	5	12	11	0	0	10	0	73	0	0	0	2	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Yersinia;s__Yersinia_pestis	667	0	0	1	1	0	18	717	378	0	0	0	0	0	0	0	3	0	0	62	0	1	0	3	3	2	0	0	15	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	65	0	1	683	15	0	25	0	0	1	13	0	1	0	15	0	0	13	0	5	184	0	0	0	0	8	1	0	0	0	0	1	2	1	2	1	0	0	0	0	0	0	813	0	0	2	103	0	0	0	0	0
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Intestinibacter;s__Intestinibacter_bartlettii	459	2	0	0	119	0	0	474	0	0	0	1	2317	11	0	13	0	0	2	0	0	0	0	0	1	0	0	0	2	1	0	0	33	6	0	0	0	2	0	0	0	0	0	366	0	0	0	12	0	1	93	29	5	0	22	0	0	0	0	17	1	6	3	24	8	202	1	1	0	20	16	194	13	0	6	18	0	6	0	6	9	1	2	0	0	6	298	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter_cloacae_J	438	30	1	3	44	0	3	552	443	2	18	0	1867	1	65	1641	246	2	51	6	9	3463	679	2	14	136	1	5	84	0	28737	0	1	188	4	1	1	18	17	568	0	2	1	25	6	203	1	12	0	3	2	48	15	4038	31	835	6	325	24	0	2	96	250	44	152	148	10	1	1151	4	455	24	1	2129	4	39	5	2	1057	43	4599	46	201	290	9	6461	366	19367	0	307	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_hyovaginalis	16	0	0	0	0	0	0	18	0	0	0	0	80	0	0	74	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	25	0	0	0	1	26	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter_sichuanensis	222	6	0	1	5	0	38	232	163	0	21	0	319	0	13	367	0	0	7	0	0	108	426	0	54	20	1	0	47	0	122	0	0	2	0	0	0	0	0	56	0	0	0	8	0	4	0	4	151	0	0	3	1	299	3	48	0	0	4	2	0	5	1	7	36	12	0	0	5	0	7	16	0	70	1	4	0	1	211	1	463	3	0	8	0	53	201	71	0	23	0	0	0	0	0	0
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Helcococcaceae;g__Anaerococcus;s__Anaerococcus_vaginalis	6	0	2	23	0	0	0	0	9	0	3	0	15	0	0	0	0	4	0	0	0	0	0	0	1	0	1	21	0	0	0	0	2	0	0	0	0	0	14	0	0	0	0	1	0	0	0	0	0	0	0	6	1	2	28	0	0	0	0	0	4	7	0	0	261	0	0	0	0	1	0	6	0	0	0	2	0	0	0	21	0	148	0	0	1	0	3	0	0	0	0	0	0	0	0	0
