#OTU ID	magic.0604.PE.S33.001.fa	magic.0604.MagAE.S59.001.fa	magic.0258.MagAE.S54.001.fa	magic.1457.PPE.S17.001.fa	magic.0238.PE.S28.001.fa	magic.0604.PPE.S12.001.fa	magic.0524.PPE.S11.001.fa	magic.0348.MagAE.S55.001.fa	magic.0978.PPE.S13.001.fa	magic.1489.PPE.S18.001.fa	magic.1232.MagAE.S65.001.fa	magic.0378.PPE.S6.001.fa	magic.1232.PE.S36.001.fa	magic.1488.MagAE.S71.001.fa	magic.0298.MagAE.S51.001.fa	magic.1457.MagAE.S70.001.fa	magic.2174.PE.S45.001.fa	magic.1269.MagAE.S69.001.fa	magic.1412.MagAE.S72.001.fa	magic.0142.PPE.S4.001.fa	magic.0238.PPE.S5.001.fa	magic.0978.PE.S34.001.fa	magic.0238.MagAE.S50.001.fa	magic.0481.PPE.S8.001.fa	magic.1757.PPE.S22.001.fa	magic.0821.MagAE.S63.001.fa	magic.1757.PE.S43.001.fa	magic.0485.MagAE.S61.001.fa	magic.0990.PPE.S14.001.fa	magic.1455.PPE.S16.001.fa	magic.0990.MagAE.S68.001.fa	magic.0485.PPE.S9.001.fa	magic.1489.MagAE.S67.001.fa	magic.0990.PE.S35.001.fa	magic.1761.MagAE.S76.001.fa	magic.1947.PE.S44.001.fa	magic.1412.PPE.S20.001.fa	magic.1455.MagAE.S66.001.fa	magic.1489.PE.S39.001.fa	magic.1761.PE.S42.001.fa	magic.2174.MagAE.S74.001.fa	magic.1761.PPE.S21.001.fa	magic.1488.PPE.S19.001.fa	magic.0140.MagAE.S49.001.fa	magic.0140.PPE.S3.001.fa	magic.0142.MagAE.S53.001.fa	magic.0978.MagAE.S64.001.fa	magic.0493.MagAE.S60.001.fa	magic.0096.MagAE.S52.001.fa	magic.0481.MagAE.S57.001.fa	magic.0096.PPE.S2.001.fa	magic.0096.PE.S26.001.fa	magic.0485.PE.S31.001.fa	magic.1269.PPE.S15.001.fa	magic.0524.MagAE.S62.001.fa	magic.0487.PPE.S10.001.fa	magic.0487.PE.S32.001.fa	magic.0378.MagAE.S56.001.fa	magic.1947.PPE.S23.001.fa	magic.1412.PE.S41.001.fa	magic.1455.PE.S38.001.fa	magic.2174.PPE.S24.001.fa	magic.0487.MagAE.S58.001.fa	magic.2704.MagAE.S78.001.fa	magic.0140.PE.S27.001.fa	magic.0068.MagAE.S48.001.fa	magic.1757.MagAE.S73.001.fa	magic.0068.PE.S25.001.fa	magic.1947.MagAE.S77.001.fa	magic.0493.PPE.S7.001.fa	magic.0493.PE.S30.001.fa	magic.1488.PE.S40.001.fa	magic.0378.PE.S29.001.fa	Blank.MagAE.S75.001.fa	magic.2704.PE.S46.001.fa	BLANK.PPE.S1.001.fa	magic.1269.PE.S37.001.fa	Blank.PE.S47.001.fa
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_sp900556215	732	495	40	1	3982	492	1	703	2	86	852	141	1224	0	61	2	0	10	0	0	2172	17	3667	2	11	4	8	5	211	465	156	6	298	210	226	1	0	290	327	553	1	223	1	7	1	582	32	10	1	17	1	1	24	6	1	0	7	164	0	0	511	2	2	8	2	5	12	38	1	4	3	0	37	0	14	1	4	0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__43-108;s__43-108_sp001915545	18947	10780	524	34	14169	12616	14	31759	64	8173	13629	7947	19448	34	714	70	9	642	11	12	8706	1187	12585	5	90	303	474	35	68180	30207	64845	4	22311	68616	7234	34	17	27651	22584	17505	21	7857	32	31	5	2452	960	132	7	370	33	21	398	33	23	12	222	7753	22	78	36595	14	186	814	11	39	543	1078	17	10	28	30	2285	66	869	21	137	5
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides_distasonis_A	28428	20803	563	26	9111	15842	3	1116	14	1095	3255	9211	4794	14	205	16	227	567	5	9	5943	719	8389	1	19	59	150	23	1868	28932	1500	3	2415	2161	54	18	8	22340	2503	121	111	73	5	29	8	1402	99	53	0	330	8	11	204	28	24	11	162	7371	3	10	37666	271	103	570	8	16	8	816	1	1	19	11	1652	12	453	18	107	2
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_sp900550895	311	193	9	0	0	203	9	0	0	4	205	2	313	0	0	1	0	19	0	0	0	0	0	0	0	11	4	3	0	6	0	2	15	0	4	0	0	7	21	5	0	1	0	0	0	8	0	0	0	0	0	0	0	4	2	1	1	1	0	0	9	0	4	10	0	0	0	0	0	0	0	1	0	0	1	0	0	0
k__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__CAG-196;s__CAG-196_sp002102975	692	413	13	0	63	481	0	1448	1	287	260	285	375	2	16	1	2	25	0	0	23	35	77	1	0	10	19	0	144	633	105	1	633	170	272	0	0	502	914	597	1	247	0	1	1	39	7	3	0	9	0	4	2	3	1	0	11	266	0	3	671	2	5	27	0	1	28	35	0	0	2	0	77	5	15	0	3	0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_sp900552405	2672	1885	95	1	369	1785	0	1165	2	234	383	596	563	1	22	2	5211	72	2	0	232	80	329	0	4	16	11	3	592	1768	575	0	519	729	195	3	2	1491	535	431	1226	168	2	2	1	57	23	4	0	223	0	4	10	0	3	0	13	624	1	1	2153	4244	7	44	2	2	31	101	0	0	1	2	143	5	43	0	8	0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__UBA3382;s__UBA3382_sp002159555	2784	1504	56	0	28	1751	0	0	0	10	5	8	7	2	2	0	0	0	0	0	16	8	25	0	0	1	0	0	2	5	1	0	23	4	0	2	0	15	42	4	1	2	1	0	0	26	0	0	0	7	0	0	0	1	0	0	0	3	0	0	15	1	0	1	0	0	0	3	0	0	0	0	1	0	3	0	0	0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola_coprocola	4143	2661	124	59	11383	2603	0	472	44	315	1174	1352	1691	8	160	62	143	289	2	7	10286	151	7900	8	58	14	105	21	208696	11742	16084	3	644	42143	154	3	30	9421	762	327	29	759	25	15	4	1181	136	50	0	56	51	19	149	42	10	9	115	926	19	14	13218	193	119	270	1	13	24	119	4	3	11	7	186	7	444	7	29	0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_cellulosilyticus	16138	11451	330	7	483	10606	0	21	9	23	92	6	154	3	69	11	0	163	3	3	863	30	114	0	11	8	31	3	9768	6240	115	0	54	2228	125	7	8	5509	53	447	0	200	4	0	3	88	7	10	0	77	1	2	51	16	7	4	26	14	6	6	7521	9	19	182	0	0	10	6	0	0	0	11	3	1	246	8	28	2
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter_sp900557055	777	366	12	4	35	685	0	216	4	590	103	512	170	1	13	2	3	39	1	0	54	65	36	0	7	29	6	59	532	2543	368	66	1478	475	38	2	0	1164	1139	117	0	46	2	4	1	35	9	7	0	20	0	2	110	7	2	0	90	697	1	3	2619	2	5	57	0	0	2	137	0	0	0	0	171	2	78	1	11	0
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1071;s__UMGS1071_sp900542375	491	550	17	0	34	2164	1	1	2	1578	3	368	3	0	3	1	1	3	0	0	21	16	26	0	3	28	0	2	1	57	0	0	1701	0	0	0	1	23	1428	0	0	0	1	0	1	5	0	0	0	3	0	0	0	0	3	0	0	338	4	0	41	0	0	9	0	0	0	47	0	0	0	1	47	1	64	2	2	0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_uniformis	33114	22486	682	15	9173	20049	5	726	14	897	2171	4178	3487	15	201	8	8	95	2	3	6009	334	8033	0	41	62	328	21	271	5250	179	4	2302	227	11458	12	5	4492	2207	21938	5	10161	9	9	9	1185	68	25	1	193	4	3	50	11	10	9	34	3068	4	15	7106	7	34	249	8	15	1089	326	4	4	7	9	686	13	316	10	31	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia_coli_C	6598	8423	247	13	1108	24780	10	7856	17	24114	11	6273	6	9	143	15	20862	252	4	5	2424	356	1653	206	50	276	137	7	10	2176	13	2	14370	5	4745	21	4	3091	13088	6472	25372	2942	18	13	9	356	59	21216	12	2424	10	20	23	16	22	2	13	4276	11	5	1190	25973	27	313	3	14	913	408	7	7012	1925	3	1016	62	223	14	12	2
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola_sp002161565	331	242	1	0	139	207	1	0	0	13	23	2	28	1	1	1	0	1	0	0	74	2	101	0	0	0	2	0	251	85	397	0	76	340	7	0	0	92	73	24	0	11	0	0	0	15	3	0	0	1	0	0	2	1	2	0	0	6	0	0	115	0	0	8	0	0	0	1	0	0	0	0	0	0	1	0	1	0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola_sp900554435	10397	6273	481	31	34900	7216	9	39728	15	4616	8650	5580	12707	16	838	50	43	276	5	10	21617	960	30061	17	96	251	887	258	14531	12940	9316	189	14173	15184	9059	1339	4	10291	14096	22288	22	9561	9	47	13	5170	388	124	12	335	11	13	583	16	18	22	319	5940	2842	39	14890	51	98	433	8	41	653	1224	2112	10	20	14	1819	54	455	10	54	8
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_cutis	24840	16321	820	6	192	18810	0	39	7	18	426	97	623	10	176	1	0	2	0	0	146	11	188	0	2	24	21	5	67	299	64	0	13	68	33	6	1	147	42	56	0	21	3	0	1	205	3	4	0	154	0	0	2	6	6	0	7	53	1	6	298	5	8	578	0	0	4	9	0	0	1	1	20	0	292	9	9	2
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas;s__Butyricimonas_faecalis	12467	7425	238	54	1390	7401	1643	73	29	1477	9981	4358	10691	10	100	50	172	19	0	1	916	225	1256	0	1	51	721	10	13	523	16	10	2483	18	12	1025	1	410	3726	22	101	10	14	4	4	213	247	68	170	89	278	37	19	9	658	1	16	2907	2580	2	731	185	8	182	2	2	11	263	1345	79	6	7	677	10	268	7	6	0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium_sp001665295	48	56	13121	116	11	73	114	93	20637	27	102	3	126	21480	3110	691	28	8839	130	2868	8	9535	7	4736	13913	11271	3356	211	291	23	53	322	154	286	8	258	229	21	256	37	7	14	7332	6509	456	9457	2215	4993	409	6701	69	390	853	11964	852	77	444	4	33	409	6	11	962	3335	2900	1968	624	3209	41	658	1419	420	2	18	34	4	473	0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola_sartorii	7074	4244	253	8	3375	5372	7	19265	11	7695	3679	6078	5850	7	257	18	183	146	1	6	2138	488	3078	1	43	132	155	6	8554	7055	7012	3	10465	9561	4036	6	6	5897	14830	9682	35	4176	8	9	5	699	160	63	4	211	4	7	89	14	9	5	46	4920	11	13	8706	186	50	111	9	14	268	509	4	3	7	10	1486	32	520	5	28	1
