#OTU ID	magic.1959.S65.001.fa	magic.2524.S90.001.fa	magic.2388.S55.001.fa	magic.2032.S88.001.fa	magic.4896.S36.001.fa	magic.2629.S56.001.fa	magic.2818.S91.001.fa	magic.2909.S57.001.fa	magic.2495.S79.001.fa	magic.1921.S29.001.fa	magic.2006.S77.001.fa	magic.4194.S83.001.fa	magic.4033.S47.001.fa	magic.3092.S81.001.fa	magic.2848.S21.001.fa	magic.3840.S11.001.fa	magic.4162.S71.001.fa	magic.2674.S80.001.fa	magic.3943.S35.001.fa	magic.3819.S82.001.fa	magic.3527.S92.001.fa	magic.3763.S70.001.fa	magic.2077.S42.001.fa	magic.2822.S9.001.fa	magic.1502.S87.001.fa	magic.2568.S20.001.fa	magic.1934.S53.001.fa	magic.5001.S48.001.fa	magic.2483.S67.001.fa	magic.1909.S17.001.fa	magic.1926.S41.001.fa	magic.1640.S5.001.fa	magic.2570.S32.001.fa	magic.2096.S54.001.fa	magic.3035.S69.001.fa	magic.2343.S43.001.fa	magic.2850.S33.001.fa	magic.2665.S68.001.fa	magic.2334.S31.001.fa	magic.2099.S66.001.fa	magic.2588.S44.001.fa	magic.3555.S10.001.fa	magic.2034.S6.001.fa	magic.2186.S78.001.fa	magic.3869.S12.001.fa	magic.2055.S30.001.fa	magic.2322.S19.001.fa	magic.3899.S23.001.fa	magic.3083.S94.001.fa	magic.2235.S24.001.fa	magic.3821.S93.001.fa	magic.2049.S18.001.fa	magic.4125.S59.001.fa	magic.3611.S34.001.fa	magic.2885.S45.001.fa	magic.1127.S76.001.fa	magic.2535.S8.001.fa	magic.2193.S89.001.fa	magic.3603.S22.001.fa	magic.2271.S7.001.fa	magic.3681.S58.001.fa	magic.5284.S72.001.fa	magic.5033.S60.001.fa	magic.3679.S46.001.fa
k__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella_sp900550175	10004	23	423	282	565	3141	153	263	4760	3	9853	148	41	1386	569	2228	122	1205	17	77	39	7991	5646	417	52	2490	4	20833	19	4	163	11	79	2910	3534	2712	35	342	1010	359	5905	611	297	4320	450	11425	0	20	266	921	4433	4	29	190	18	650	485	28	443	3556	469	122	1150	2525
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_sp001556435	35445	79	203	2793	133	918	3	144	22842	2262	31064	115	532	19	409	1934	90	486	1116	183	33	630	27537	223	282	195	92	201	281137	41	494	1257	117	366	19887	189	214	2871	47247	2637	3371	84	87	14222	23	1120	11078	193	0	281	187	881	9	96	56	6605	105	1894	1	3128	626	1774	1994	4035
k__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella_sp003463825	85902	23	2117	1842	338	6956	563	1052	20831	30	79607	1292	73	658	3080	568	101	6019	35	99	16	12257	12333	58	467	8730	19	8247	101	21	693	45	262	14744	15141	9302	187	1236	1549	1316	23177	4048	1255	16736	550	54524	7	64	303	4330	5522	11	5	1140	131	5727	870	162	1506	13820	932	330	3478	11922
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_faecalis	31482	13	4	43988	14	401	16	61	26	47433	19552	24	1	13	9	8	11	73	15	22	1110	31032	2431	287	2691	8951	155	353	25	853	54	13910	22	12059	15269	2235	127	14	720	15216	1273	48	9	2066	14	7715	5	2	33	1	220	175	774	20	68	62258	321	77	10	416	43386	21	1103	224
k__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella_sp900556785	41067	272	3436	3394	1114	7142	1410	4966	31122	24	39425	749	85	1202	4845	632	453	10200	39	132	17	57780	13856	108	216	13357	8	9760	178	18	1218	26	496	15077	26903	36961	235	1815	2470	1165	51698	2472	2325	101553	5866	92641	15	55	3845	6401	46949	32	8	1543	147	2782	2871	111	5782	14605	754	431	6331	12150
k__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella_sp002959755	62293	21	725	1454	224	3171	252	747	7109	108	64896	1256	18	347	1359	263	86	2413	14	69	260	7240	5453	355	391	8301	1071	4123	54	25	324	36	115	9262	6205	3466	61	407	1716	648	10054	3474	458	10388	439	29271	13	33	282	1368	4420	1266	286	980	125	4774	399	145	594	5143	1466	140	1147	3928
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus;s__Haemophilus_sp002998595	5459	12	3039	141	13	95	5	120	36658	9772	3902	43	41	25	20	1114	4	27	15	12	3	3	352	18	68	30	4	1899	113	161	136	36	4	40	761	17	5022	2000	13	95	461	13	48	3934	7	34	16352	14	7	1668	4	1	1	6	35	507	317	693	4	631	47	26	20	942
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Proteus;s__Proteus_mirabilis	28920	3	14	537	1	24673	2	9	6	13036	25008	271	81	45	3	3	5	6	3	2	4	4	829194	36	150	17	81	66	1	212	112	16	22	96	3	98	4	10	8	150	147	18183	130	237	4	116	0	192	4	0	10	81	2	4	12405	1873	5397	209	3	3	6	2	2	61
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor_sp900066365	33	36	83	217	816	266	15	67	1	2	2	7913	1696	513	29	1158	27	2	2197	1385	111	117	22	66	4	332	43	277	4	0	22	3	2	552	38	41	94	4	0	2	38	21203	4	7	177	305	0	1297	75	38	46	56	31	68	176928	2	6	2	15	4	67	310	2	16
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D;s__Haemophilus_D_sp001679485	31536	6	474	633	324	7	61	2365	10173	11904	25966	90	724	119	802	8053	53	243	172	287	16	8	1304	181	304	673	14	4126	375	299	5174	317	211	9	993	6	79	63	9	40	2013	19	529	31910	360	24	346	213	115	334	26	5	11	14	13	2102	143	437	6	120	360	295	1058	5376
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella_A;s__Klebsiella_A_michiganensis	1491	2984	29922	7604	146	1998	2871	3579	85916	11932	4937	199	8	181	1046	61	190	13888	280	215	13993	992	3665	9616	120	82830	60449	958	764	3248	16077	163	135831	11958	3740	7372	1131412	1964904	1148537	47258	8189	179	7877	3022	322	15914	1359585	208	992	50069	4905	9416	1709	301	1034	165	61291	139407	509	27048	2435	246	5599	15303
k__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella_parvula_A	6918	3319	244	19306	9399	7338	12459	45920	7198	18	8543	2564	102	6325	380	186	5758	825	29	284	299	853508	10118	701	157	141088	14	1459	504	45	188	158	657	2872	28572	646504	188	484	2805	3722	299096	3496	352	881105	73282	231373	117	28	47435	411	515501	186	171	10257	1031	732	26948	420	87717	1390	976	322	73132	1157
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella_quasivariicola	638	4995	23366	486	13	116	143	291	264	845	336	78	2	9	19	8	7	44490	27	31	257	339	257	783	35	1402	30262	49	22	792	4495	45	713	1320	241	1716	2656	3034	10863	30525	14184	14	831	289	51	1056	3525	11	224	36296	2204	2011	64	23	124	11	104317	135903	14	42032	2035	8	49	158
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus;s__Haemophilus_quentini	2280	1	388	63	11	19	2	18	3758	4792	1754	7	23	4	26	221	5	46	10	1	0	3	105	6	18	9	0	258	11	69	127	17	6	2	126	3	529	189	1	3	132	0	19	1019	4	5	1512	8	0	237	0	0	0	1	4	191	123	118	0	82	9	7	21	200
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides_merdae	491	511	270	34	475	48	781	141	72	98	78	109	172874	509472	13426	205567	8697	5807	119946	217074	128	84	79	259	75	273	33	56	19	338	28	268	142	49	194	34	140	41	82	32	64	86	139	74	463	84	138	167410	388	272	76	214	1376	7253	166	128	139	115	918	93	57	5588	5787	758
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_ovatus	4681	186	234	11	118	147	49	193	55	115	41	114	211019	225727	1751	179477	757	709	223770	266968	52	99	97	146	142	235	154	96	35	161	102	118	140	158	106	92	140	52	108	41	137	103	64	55	165	123	156	97578	202	149	51	149	1416	322	118	177	59	36	219	56	116	1493	1051	273
k__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella_rogosae	28672	19	455	1159	4337	1474	146	333	4868	13	28104	105	140	236	462	998	116	847	24	63	5	6057	5022	23	178	4675	10	2024	35	4	201	12	56	2293	4394	2730	34	284	2157	240	10206	375	235	29228	617	16009	2	23	759	974	2750	9	6	164	17	2009	358	62	586	2919	371	1102	25242	2207
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_eggerthii	44	58	48	4	14	13	14	12	8	1	7	7	2408	1597	785	2078	50	851	2238	2527	22	8	18	21	16	17	10	3	7	223	22	107	81	10	14	3	4	20	2	13	3	5	29	9	26	8	15	1798	7	17	3	15	250	30	5	8	7	28	5	7	5	609	86	8
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_salyersiae	16	322	172	10	206	6	115	3	0	0	0	0	166	233	6174	205	341	2931	159	221	36	2	3	24	11	6	3	4	4	66	47	25	91	3	6	1	1	7	2	9	4	11	29	1	253	4	2	110	116	112	8	2	2024	254	1	1	18	29	50	15	0	3901	2493	298
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_fragilis	4356	1784727	1176073	849	1916301	578	1860735	250	794	199	6	262	3314	3446	1213	4483	13420	1968	3861	3392	855	309	49	205	1196	651	275	1145	1053	1196	203	647	1239	312	60	581	247	286	802	102	394	494	462	162	1843010	288	731	2389	1426755	1185816	851	930	892794	12935	301	10	501	198762	1609382	824	378	8159	1154	282
k__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella_sp900549845	14789	16	266	360	77	1605	94	260	2714	4	13598	205	22	145	297	130	24	580	17	25	1	3738	3213	7	85	2108	4	1706	60	4	90	7	31	2446	2262	1978	20	157	619	250	3839	640	151	5246	295	8676	6	26	174	586	2022	6	3	264	24	1037	214	29	335	1817	196	52	435	1708
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus;s__Haemophilus_influenzae_D	706	0	32	14	1	2	0	6	526	594	590	2	12	2	5	57	1	3	1	3	0	5	34	3	5	2	0	66	6	8	24	0	3	1	11	0	70	43	1	0	29	0	3	208	1	0	200	2	0	27	0	1	0	0	0	43	21	9	0	8	1	3	6	43
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_vestibularis	2829	13	133	463	79	215	2	102	36029	166	2531	85	161	9	63	235	10	66	79	41	5	117	2251	49	26	132	26	50	34125	7	26	218	19	314	2851	92	63	13616	5423	507	490	174	7	2134	12	221	982	66	1	15	61	68	8	14	10	1079	15	121	0	436	151	119	158	285
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola_vulgatus	5269	3517	3051	265	3542	569	3342	383	488	465	550	219	4247	4445	5181	4200	2473	4004	4279	5028	534	234	390	698	1039	602	438	276	403	35248	462	2278	1477	509	331	165	455	498	445	519	256	204	787	632	3982	656	559	3502	2962	2698	184	560	901	1946	165	1040	551	803	2669	397	258	1510820	1734	347
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_infantis	723	524	67	71507	853	146339	676	35365	171	280	316	733	160	5355	8215	545	194	48	153	759	841442	106143	265	699823	2504066	64541	360	198500	296	242	389	2649434	61	68161	1179555	398	352	443	12	1509411	87411	3137	517	210	37009	83503	6	1022	6369	34	159165	188	108852	71	894	338	481	798	71	387	216203	1858	18721	42471
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__Faecalimonas_sp900556835	396	230	3	24	1438	173	129	15	38	15	15	230	1468	1287	415	2025	304	160	1594	1536	173	941	43	162	5	175	1354	2738	837	5	14	13	14	33	30	6231	338	23	183	26	48	229	0	4	2263	37	18	2396	1290	3	95	1841	135	1018	6288	43	3	1	752	3	786	2459	261	32
