"Sample_ID"	"Sequencing_Project"	"Filename"	"Extraction"	"Total_Counts"	"Remove"
"magic.2412"	"Knights_Project_077_Pool3"	"magic.2412.PS.S308.001.fa"	"PowerSoil"	1205009	1
"magic.2415"	"Knights_Project_077_Pool1"	"magic.2415.S89.001.fa"	"PowerSoilPro"	1909361	0
"magic.2415"	"Knights_Project_077_Pool3"	"magic.2415.PS.S309.001.fa"	"PowerSoil"	956032	1
"magic.2417"	"Knights_Project_077_Pool1"	"magic.2417.S8.001.fa"	"PowerSoilPro"	1213990	0
"magic.2417"	"Knights_Project_077_Pool3"	"magic.2417.PS.S310.001.fa"	"PowerSoil"	836003	1
"magic.2423"	"Knights_Project_077_Pool1"	"magic.2423.S20.001.fa"	"PowerSoilPro"	1397378	0
"magic.2423"	"Knights_Project_077_Pool3"	"magic.2423.PS.S311.001.fa"	"PowerSoil"	887274	1
"magic.2425"	"Knights_Project_077_Pool1"	"magic.2425.S32.001.fa"	"PowerSoilPro"	1135410	0
"magic.2425"	"Knights_Project_077_Pool3"	"magic.2425.PS.S312.001.fa"	"PowerSoil"	1070967	1
"magic.2435"	"Knights_Project_077_Pool1"	"magic.2435.S44.001.fa"	"PowerSoilPro"	1117787	0
"magic.2435"	"Knights_Project_077_Pool3"	"magic.2435.PS.S313.001.fa"	"PowerSoil"	900868	1
"magic.2444"	"Knights_Project_077_Pool1"	"magic.2444.S55.001.fa"	"PowerSoilPro"	1547640	0
"magic.2444"	"Knights_Project_077_Pool3"	"magic.2444.PS.S314.001.fa"	"PowerSoil"	942801	1
"magic.2448"	"Knights_Project_077_Pool1"	"magic.2448.S67.001.fa"	"PowerSoilPro"	1401467	0
"magic.2448"	"Knights_Project_077_Pool3"	"magic.2448.PS.S315.001.fa"	"PowerSoil"	1010067	1
"magic.2456"	"Knights_Project_077_Pool1"	"magic.2456.S78.001.fa"	"PowerSoilPro"	1130532	0
"magic.2456"	"Knights_Project_077_Pool3"	"magic.2456.PS.S316.001.fa"	"PowerSoil"	910189	1
"magic.2472"	"Knights_Project_077_Pool1"	"magic.2472.S90.001.fa"	"PowerSoilPro"	1519036	0
"magic.2472"	"Knights_Project_077_Pool3"	"magic.2472.PS.S317.001.fa"	"PowerSoil"	1097535	1
"magic.2488"	"Knights_Project_077_Pool1"	"magic.2488.S9.001.fa"	"PowerSoilPro"	1250505	0
"magic.2488"	"Knights_Project_077_Pool3"	"magic.2488.PS.S318.001.fa"	"PowerSoil"	1170365	1
"magic.2489"	"Knights_Project_077_Pool1"	"magic.2489.S21.001.fa"	"PowerSoilPro"	1594220	0
"magic.2489"	"Knights_Project_077_Pool3"	"magic.2489.PS.S319.001.fa"	"PowerSoil"	986907	1
"magic.2513"	"Knights_Project_077_Pool1"	"magic.2513.S33.001.fa"	"PowerSoilPro"	1283386	0
"magic.2513"	"Knights_Project_077_Pool3"	"magic.2513.PS.S320.001.fa"	"PowerSoil"	824084	1
"magic.2516"	"Knights_Project_077_Pool1"	"magic.2516.S45.001.fa"	"PowerSoilPro"	1426851	0
